round,client_id,loss
1,3,1.6996399015188217
1,2,1.6374096870422363
1,4,2.57733254134655
1,5,1.7166175693273544
1,6,1.7076344937086105
1,7,1.7399247288703918
1,9,1.6820279881358147
1,8,1.74444168061018
1,11,1.6967440694570541
1,10,1.7060318738222122
1,12,1.7194481045007706
1,13,1.71394132822752
1,14,1.7706450819969177
1,15,1.7292907536029816
1,17,1.7610951513051987
1,16,1.7121907696127892
1,18,2.582207813858986
1,19,1.7256028354167938
1,21,1.6830928400158882
1,20,1.784859612584114
2,5,1.4710999950766563
2,4,3.319322422146797
2,3,1.4808280542492867
2,2,1.3811387903988361
2,9,1.5146918147802353
2,7,1.455558106303215
2,8,1.4740677624940872
2,6,1.5027318447828293
2,11,1.507274404168129
2,10,1.3276391848921776
2,13,1.4197019264101982
2,12,1.534185141324997
2,14,1.2695255875587463
2,15,1.557674415409565
2,16,1.5476006418466568
2,17,1.2914183661341667
2,19,1.3686591573059559
2,18,3.319312110543251
2,21,1.4739318192005157
2,20,1.5301710814237595
3,5,1.5608753375709057
3,4,3.608524113893509
3,2,1.5447868220508099
3,3,1.5135315991938114
3,7,1.628534622490406
3,6,1.0905433110892773
3,9,1.590722881257534
3,8,1.5538858696818352
3,10,1.416717030107975
3,11,1.5589519515633583
3,13,1.1786633878946304
3,12,1.4687492921948433
3,14,1.4164906702935696
3,15,1.6426751390099525
3,17,1.295742180198431
3,16,1.4930969029664993
3,18,3.7024288326501846
3,19,1.4204580560326576
3,20,1.5976972058415413
3,21,1.026683334261179
4,2,1.8375319503247738
4,4,8.609266370534897
4,3,2.0756956189870834
4,5,2.4640880450606346
4,6,1.2484359629452229
4,8,1.167752094566822
4,7,2.235998287796974
4,9,2.0954240784049034
4,10,1.9010734856128693
4,11,1.8885140269994736
4,12,2.1768936440348625
4,13,0.7400955948978662
4,16,1.324110433459282
4,14,1.8557411134243011
4,15,1.3653520345687866
4,17,1.9825211018323898
4,19,1.7940624468028545
4,18,9.122819155454636
4,20,2.0990039855241776
4,21,1.3859778456389904
5,4,9.357004553079605
5,5,2.1694835871458054
5,3,2.1698714792728424
5,2,2.0683102905750275
5,6,1.7021855525672436
5,9,2.337898626923561
5,8,0.688318538479507
5,7,2.065714068710804
5,11,1.3485127128660679
5,10,1.6777358129620552
5,13,0.853198504075408
5,12,2.232849098742008
5,16,1.2819766849279404
5,15,1.6381514631211758
5,14,2.110927551984787
5,17,1.136923361569643
5,20,2.2218845188617706
5,18,9.662173181772232
5,19,1.9007528237998486
5,21,0.6903528533875942
