round,client_id,loss
1,3,1.6899431943893433
1,2,1.6147011294960976
1,5,1.671117052435875
1,4,1.6850987747311592
1,9,1.7064479440450668
1,6,1.7280419543385506
1,8,1.775385856628418
1,7,1.762373998761177
1,10,1.7387193888425827
1,11,1.707043595612049
1,13,1.7420209497213364
1,12,1.6612338870763779
1,14,1.7675155624747276
1,15,1.7128123417496681
1,16,1.7569866925477982
1,17,1.734475016593933
1,18,1.6712687388062477
1,19,1.7385019436478615
1,20,1.7208797633647919
1,21,1.823340266942978
2,3,1.4410259947180748
2,4,1.3301507830619812
2,2,1.4564640410244465
2,5,1.2375271692872047
2,6,1.4778008833527565
2,8,1.438891440629959
2,7,1.5446946248412132
2,9,1.4452116787433624
2,10,1.596044659614563
2,12,1.4216278865933418
2,13,1.5256398990750313
2,11,1.5076452493667603
2,16,1.5307450741529465
2,14,1.2722094804048538
2,15,1.5846935287117958
2,17,1.4288911670446396
2,21,1.5414872914552689
2,20,1.2046871818602085
2,18,1.4332397133111954
2,19,1.2623874135315418
3,3,2.1386801972985268
3,2,1.879849024116993
3,4,1.0023356173187494
3,5,1.5826901197433472
3,6,1.800360955297947
3,7,1.8076724410057068
3,8,1.817727491259575
3,9,2.098728232085705
3,10,1.9324654899537563
3,11,1.1815930046141148
3,13,1.8830512762069702
3,12,1.1521702073514462
3,14,1.7706303149461746
3,15,2.115776665508747
3,16,1.9209778681397438
3,17,1.7981168702244759
3,18,2.057632192969322
3,19,1.7402176558971405
3,20,1.3939368352293968
3,21,1.1275872513651848
4,3,1.9395429268479347
4,2,1.9245699755847454
4,4,1.4283674098551273
4,5,1.7248272448778152
4,6,1.9476376324892044
4,9,1.9822889119386673
4,7,1.2335961312055588
4,8,2.1358486860990524
4,11,1.3713750764727592
4,10,1.206562215462327
4,12,1.3330166563391685
4,13,2.144469641149044
4,15,1.409347202628851
4,14,2.070034969598055
4,17,2.036318615078926
4,16,2.1020299568772316
4,18,2.132932625710964
4,19,1.93769009411335
4,21,1.4205919317901134
4,20,1.132237084209919
5,2,2.076736457645893
5,4,1.390978991985321
5,3,1.2133171372115612
5,5,1.1660449244081974
5,6,2.325979933142662
5,7,1.637218326330185
5,9,1.936464749276638
5,8,2.0151334404945374
5,10,1.1962451972067356
5,11,1.5226864106953144
5,12,1.2933679036796093
5,13,1.3758447356522083
5,14,2.155175097286701
5,16,2.1756905913352966
5,15,1.306160245090723
5,17,2.0730243772268295
5,18,1.1480967067182064
5,19,2.0883727371692657
5,20,1.2533426731824875
5,21,1.4797247424721718
