round,client_id,pid_score,distance
1,10,0.6722518023606012,0.13445036047212025
1,5,0.6299943219142334,0.1259988643828467
1,2,0.6102696076684209,0.12205392153368416
1,3,0.6741242041585109,0.13482484083170218
1,13,0.6486292909373857,0.12972585818747714
1,14,0.6382893905070802,0.12765787810141604
1,17,0.709653347355147,0.1419306694710294
1,18,0.6187650898914997,0.12375301797829995
1,19,0.6689318184549313,0.13378636369098626
1,20,0.6398777823159125,0.1279755564631825
2,6,1.3463916388240917,0.24479847978619848
2,5,1.5820309617641408,0.2530815990700868
2,1,1.3096093574398169,0.2381107922617849
2,4,1.3703325275869394,0.24915136865217077
2,13,1.5431905075869927,0.2473928364124202
2,9,1.3131190888137663,0.2387489252388666
2,10,1.5750100880694586,0.25265157973931057
2,14,1.5326740420985827,0.245615843253737
2,16,1.3288761028647351,0.24161383688449728
2,19,1.5710494491453706,0.25199117399859444
3,4,2.1357274312314676,0.3477389408550081
3,3,2.690444888497034,0.42428573983275153
3,2,2.2652589435742656,0.3578901391294012
3,1,2.110730769097822,0.3430440254198023
3,7,1.917127368622865,0.34856861247688453
3,6,2.219270679560016,0.3602569106850947
3,8,1.9113148667594257,0.3475117939562592
3,14,2.177058865763378,0.3440058228214674
3,20,2.2257833366551956,0.3522724792133518
3,15,1.9385914371286173,0.3524711703870213
4,1,1.7651840782729509,0.279638568438763
4,4,1.8429169391417561,0.2911093423451038
4,9,2.4068997493926165,0.3886575710787769
4,11,1.6726224009022586,0.30411316380041065
4,13,2.1496693833697087,0.3397696726895662
4,14,2.04439563649382,0.3122710288041503
4,15,1.8053948247332139,0.30486621691180377
4,18,2.051161040768719,0.3250826999627491
4,17,2.749628247213398,0.43393747414598666
5,7,0.8229131628193856,0.1534149952396658
5,6,0.9251559681854999,0.1512131051746074
5,8,0.8299463892462684,0.1544157363422151
5,2,0.8864008096185001,0.15451060283328594
5,9,0.8517101259344597,0.14256376136221766
5,10,0.9734917981130395,0.15886037042255918
5,11,0.7972073823652434,0.1460406098869921
5,14,1.1291461583010114,0.14256029240227325
5,20,0.8749993961117212,0.15186890115181625
