round,client_id,loss
1,4,1.709407664835453
1,3,2.822428733110428
1,2,1.6759935393929482
1,1,1.6712381169199944
1,7,1.721458524465561
1,5,1.6554964184761047
1,6,1.7191392332315445
1,8,1.6909665539860725
1,9,1.6909064501523972
1,10,1.6322075128555298
1,12,1.7232429757714272
1,11,1.6871397942304611
1,13,1.7356953769922256
1,14,1.7268557623028755
1,15,1.7084136381745338
1,16,1.7589070424437523
1,17,2.7772490978240967
1,18,1.6797023117542267
1,19,1.7305350229144096
1,20,1.7284337803721428
2,2,1.3681992962956429
2,1,1.3124961256980896
2,4,1.361275553703308
2,3,5.000387221574783
2,5,1.380539983510971
2,7,1.5302743390202522
2,6,1.5599439963698387
2,8,1.3146282359957695
2,11,1.3113872185349464
2,10,1.4108198694884777
2,12,1.2446591556072235
2,9,1.390900395810604
2,13,1.3686406686902046
2,15,1.2887094989418983
2,14,1.4302095472812653
2,16,1.3727715127170086
2,18,1.5081692710518837
2,20,1.2523062527179718
2,19,1.3756044656038284
2,17,4.889333814382553
3,2,1.6022175140678883
3,1,1.7792407274246216
3,4,1.5008982494473457
3,3,9.826796472072601
3,7,1.4057897627353668
3,8,1.8492786660790443
3,5,1.9191150814294815
3,6,1.8899933993816376
3,9,1.8020176365971565
3,10,1.7821591570973396
3,12,1.1683688387274742
3,11,1.3569810017943382
3,13,1.4125769920647144
3,15,1.8068363443017006
3,16,1.3076516315340996
3,14,1.3406812213361263
3,19,1.4997094385325909
3,18,1.980529524385929
3,20,1.2869056835770607
3,17,9.415138572454453
4,1,1.3581082727760077
4,2,1.6818355359137058
4,3,11.66468197107315
4,4,1.9404319040477276
4,7,1.6021297425031662
4,5,1.5957709923386574
4,6,1.503492597490549
4,8,1.4221600070595741
4,9,1.7068139668554068
4,11,1.4122473932802677
4,10,1.2665545754134655
4,12,1.049843979999423
4,13,1.1033510342240334
4,15,1.8981319665908813
4,14,1.3868485167622566
4,16,1.1227231249213219
4,19,1.5465731360018253
4,17,11.742295742034912
4,20,1.5096966549754143
4,18,2.06693022698164
5,1,1.131909491494298
5,4,1.5564043819904327
5,2,1.9530135542154312
5,3,13.605109989643097
5,5,1.6174275949597359
5,6,1.9528996385633945
5,8,1.1774423364549875
5,7,1.5048385262489319
5,9,1.8264342918992043
5,10,1.3978257551789284
5,11,1.5244080647826195
5,12,1.1065316647291183
5,14,1.1506794653832912
5,13,1.0061103831976652
5,15,1.382867656648159
5,16,1.0962047204375267
5,17,13.615689158439636
5,18,2.2411047518253326
5,19,1.2408398017287254
5,20,0.9823292046785355
